Ward,Suburb,Property_Code,Park_Name,Node_Id,Node_Name,Item_Id,Item_Type,Item_Description,Easting,Northing,Long,Lat
RICHLANDS,RICHLANDS,D0564,C.J.GREENFIELD COMPLEX PARK,18671,WEST INALA JUNIOR RUGBY LEAGUE FACILITY,31104,TAP COMBINATION,Bubbler & Tap,496494,6949327,152.9644786,-27.57994819
RICHLANDS,RICHLANDS,D0564,C.J.GREENFIELD COMPLEX PARK,18664,C J GREENFIELD SPORTS COMPLEX CENTRAL PICNIC AREA,44025,TAP COMBINATION,Bubbler & Tap,496557,6949418,152.9651172,-27.57912681
RICHLANDS,RICHLANDS,D0564,C.J.GREENFIELD COMPLEX PARK,18665,BALANCE OF PARK,44033,TAP COMBINATION,Bubbler & Tap,496721,6949465,152.9667789,-27.57870291
RICHLANDS,RICHLANDS,D0564,C.J.GREENFIELD COMPLEX PARK,18665,BALANCE OF PARK,36927,TAP COMBINATION,Bubbler & Tap,496767,6949479,152.967245,-27.57857663
RICHLANDS,WACOL,D0339,M. Z. HOLLAND MEMORIAL PARK,18592,M Z HOLLAND PK PLAYGROUND & HALF COURT,35263,TAP COMBINATION,Bubbler & Tap,492267,6947937,152.9216435,-27.59247931
TENNYSON,ANNERLEY,D0372,HEFFERAN PARK,14159,HEFFERAN PK PLAYGROUND,109329,TAP COMBINATION,Bubbler & 2 taps,502913,6958112,153.0294922,-27.50063952
TENNYSON,ANNERLEY,D0390,ERIC CRESCENT PARK,14056,ERIC CRES HALF COURT & NETBALL HOOP,109175,TAP COMBINATION,Bubbler & Tap,503009,6955639,153.0304702,-27.52296539
TENNYSON,ANNERLEY,D0390,ERIC CRESCENT PARK,14051,ERIC CRES PLAYGROUND,8728,TAP COMBINATION,Bubbler & Tap,503076,6955579,153.0311489,-27.52350692
TENNYSON,CHELMER,D0297,GORDON THOMSON PARK,20175,GORDON THOMSON PK PLAYGROUND,16055,TAP COMBINATION,Bubbler & 2 taps,497617,6957036,152.9758716,-27.51035462
TENNYSON,CHELMER,D0298,QUEENSCROFT STREET PARK (NO 112),20170,BALANCE OF PARK,34989,TAP COMBINATION,NULL,497891,6956972,152.9786458,-27.51093286
TENNYSON,CHELMER,D0298,QUEENSCROFT STREET PARK (NO 112),20170,BALANCE OF PARK,184965,TAP COMBINATION,Bubbler 2 taps & dog bowl,497929,6956972,152.9790306,-27.51093292
TENNYSON,CHELMER,D0707,TAYLOR BRIDGE RESERVE,33634,PICNIC NODE,25688,TAP COMBINATION,Bubbler & 2 taps,497317,6957500,152.9728351,-27.5061651
TENNYSON,CORINDA,D0011,GEORGE SCARLETT PARK,16281,PRATTEN ST DOG OFF LEASH AREA,30705,TAP COMBINATION,Bubbler 2 taps & dog bowl,498479,6952831,152.9845943,-27.54831823
TENNYSON,CORINDA,D0011,GEORGE SCARLETT PARK,16282,CLIVEDEN AVE PLAYGROUND,6350,TAP COMBINATION,Bubbler & 2 taps,498501,6952667,152.9848169,-27.54979883
TENNYSON,CORINDA,D0311,NOSWORTHY PARK,16255,BALANCE OF PARK,6680,TAP COMBINATION,Bubbler & 2 taps,498756,6953831,152.9874009,-27.53929062
TENNYSON,CORINDA,D0316,DUNLOP PARK,16228,DUNLOP PK PLAYGROUND (OXLEY RD),36928,TAP COMBINATION,Bubbler & Tap,498102,6952871,152.9807758,-27.54795664
TENNYSON,CORINDA,D0316,DUNLOP PARK,31641,HUGHES LANE ACCESS & CAR PARKING,41447,TAP COMBINATION,"Bubbler, tap & dog bowl",498102,6952871,152.9807758,-27.54795664
TENNYSON,CORINDA,D0316,DUNLOP PARK,16228,DUNLOP PK PLAYGROUND (OXLEY RD),6746,TAP COMBINATION,Bubbler & Tap,498106,6953049,152.9808166,-27.54634968
TENNYSON,CORINDA,D0877,ARCHER PARADE PARK,16077,CORINDA HORSE & PONY CLUB FACILITY,185300,TAP COMBINATION,NULL,499215,6952777,152.9920489,-27.54880636
TENNYSON,CORINDA,D0877,ARCHER PARADE PARK,16077,CORINDA HORSE & PONY CLUB FACILITY,185372,TAP COMBINATION,NULL,499215,6952764,152.9920489,-27.54892372
TENNYSON,CORINDA,D0877,ARCHER PARADE PARK,16077,CORINDA HORSE & PONY CLUB FACILITY,185348,TAP COMBINATION,NULL,499236,6952776,152.9922616,-27.5488154
TENNYSON,CORINDA,D0877,ARCHER PARADE PARK,16078,BALANCE OF PARK,41512,TAP COMBINATION,Bubbler & Tap,499252,6952609,152.9924236,-27.55032307
TENNYSON,CORINDA,D0877,ARCHER PARADE PARK,16077,CORINDA HORSE & PONY CLUB FACILITY,185292,TAP COMBINATION,NULL,499254,6952767,152.992444,-27.54889666
TENNYSON,CORINDA,D0877,ARCHER PARADE PARK,16077,CORINDA HORSE & PONY CLUB FACILITY,185361,TAP COMBINATION,NULL,499261,6952735,152.9925148,-27.54918556
